Module,Product,Zone,Product Module
Dashboard,Customer Portal,Customer Portal,Customer Portal Dashboard
Bookings,Customer Portal,Customer Portal,Customer Portal Bookings
Shipments,Customer Portal,Customer Portal,Customer Portal Shipments
Billing,Customer Portal,Customer Portal,Customer Portal Billing
Documents,Customer Portal,Customer Portal,Customer Portal Documents
Report,Customer Portal,Customer Portal,Customer Portal Report
User Setting,Customer Portal,Customer Portal,Customer Portal User Setting
Admin Console,Customer Portal,Customer Portal,Customer Portal Admin Console
B2B management,Customer Portal,Customer Portal,Customer Portal B2B management
Intergation,Customer Portal,Customer Portal,Customer Portal Intergation
Website,OEC Website,Customer Portal,OEC Website Website
Quick Track,OEC Website,Customer Portal,OEC Website Quick Track
Admin Console,OEC Website,Customer Portal,OEC Website Admin Console
SOPL,ERP Portal,ERP,ERP Portal SOPL
Service Contract,ERP Portal,ERP,ERP Portal Service Contract
Payment Request/Match Transaction,ERP Portal,ERP,ERP Portal Payment Request/Match Transaction
Agent Settlement,ERP Portal,ERP,ERP Portal Agent Settlement
AR/AP Compliance,ERP Portal,ERP,ERP Portal AR/AP Compliance
ERP Foundation,ERP Portal,ERP,ERP Portal ERP Foundation
Tele Release,BSR,ERP,BSR Tele Release
BSR Web,BSR,ERP,BSR BSR Web
Agent Settlement,E Portal,ERP,E Portal Agent Settlement
CWIS,Integration Portal,ERP,Integration Portal CWIS
A2A Integration(Include Asia, US CW Integration),Integration Portal,ERP,"Integration Portal A2A Integration(Include Asia, US CW Integration)"
B2B Integration (For Customer Carrier Rail Custom Warehouse),Integration Portal,ERP,Integration Portal B2B Integration (For Customer Carrier Rail Custom Warehouse)
Star Asia Integration,Integration Portal,ERP,Integration Portal Star Asia Integration
EM2,Legacy Application (.Net),ERP,Legacy Application (.Net) EM2
SOC,Legacy Application (.Net),ERP,Legacy Application (.Net) SOC
Dreamer Data Loader,OA,OA,OA Dreamer Data Loader
Non Product,Non Product,Admin,Non Product Non Product
